1;JANDARK 5 MG 56 FILM KAPLI TABLET;L04AA29;tofacitinib;ILKO ILAÇ SAN. VE TIC. A.S.;Normal
4720;NEOFLEKS %5 DEKSTROZ %0,9 SODYUM KLORUR SUDAKI COZELTISI 500 ML PP TORBA SETSIZ;B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4721;NEOFLEKS %5 DEKSTROZ LAKTATLI RINGER SUDAKI COZELTI 1000 ML PP TORBA (SETLI);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4722;NEOFLEKS %5 DEKSTROZ LAKTATLI RINGER SUDAKI COZELTI 1000 ML PP TORBA (SETSIZ);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4723;NEOFLEKS %5 DEKSTROZ LAKTATLI RINGER SUDAKI COZELTI 500 ML PP TORBA (SETLI);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4724;NEOFLEKS %5 DEKSTROZ LAKTATLI RINGER SUDAKI COZELTI 500 ML PP TORBA (SETSIZ);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4725;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI   50 ML PP TORBA SETLI;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4726;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI   50 ML PP TORBA SETSIZ;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4727;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI  100 ML PP TORBA SETLI;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4728;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI  100 ML PP TORBA SETSIZ;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4729;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI  150 ML PP TORBA SETLI;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4730;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI  150 ML PP TORBA SETSIZ;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4731;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI  250 ML PP TORBA SETLI;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4732;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI  250 ML PP TORBA SETSIZ;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4733;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI  500 ML PP TORBA SETLI;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4734;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI  500 ML PP TORBA SETSIZ;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4735;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI 1000 ML PP TORBA SETLI;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4736;NEOFLEKS %5 DEKSTROZ SUDAKI COZELTISI 1000 ML PP TORBA SETSIZ;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4737;NEOFLEKS %5 MANNITOL IRIGASYON COZELTISI 3000 ML SETLI;B05CX04;mannitol;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4738;NEOFLEKS %5 MANNITOL IRIGASYON COZELTISI 3000 ML SETSIZ;B05CX04;mannitol;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4739;NEOFLEKS %50 DEKSTROZ SUDAKI COZELTISI 500 ML SETLI PP-TORBA;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4740;NEOFLEKS %50 DEKSTROZ SUDAKI COZELTISI 500 ML SETSIZ PP-TORBA;B05BA03;carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4741;NEOFLEKS 1/3 I.V. INFUZYON ICIN ENJEKSIYONLUK COZELTI 250 ML (SETLI);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4742;NEOFLEKS 1/3 I.V. INFUZYON ICIN ENJEKSIYONLUK COZELTI 250 ML (SETSIZ);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4743;NEOFLEKS 1/3 I.V. INFUZYON ICIN ENJEKSIYONLUK COZELTI 500 ML (SETLI);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4744;NEOFLEKS 1/3 I.V. INFUZYON ICIN ENJEKSIYONLUK COZELTI 500 ML (SETSIZ);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4745;NEOFLEKS DENGELI ELEKTROLIT COZELTISI   500 ML SETLI PP TORBA;B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4746;NEOFLEKS DENGELI ELEKTROLIT COZELTISI   500 ML SETSIZ PP TORBA;B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4747;NEOFLEKS DENGELI ELEKTROLIT COZELTISI 1000 ML SETLI PP TORBA;B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4748;NEOFLEKS DENGELI ELEKTROLIT COZELTISI 1000 ML SETSIZ PP TORBA;B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4749;NEOFLEKS IZOPLEN S DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 1000 ML SETLI;B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4750;NEOFLEKS IZOPLEN S DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 1000 ML SETSIZ;B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4751;NEOFLEKS IZOPLEN S DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 500 ML SETLI;B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4752;NEOFLEKS IZOPLEN S DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 500 ML SETSIZ;B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4753;NEOFLEKS IZOPLEN-M %5 DEKSTROZLU DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 1000 ML (SETLI);B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4754;NEOFLEKS IZOPLEN-M %5 DEKSTROZLU DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 1000 ML (SETSIZ);B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4755;NEOFLEKS IZOPLEN-M %5 DEKSTROZLU DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 500 ML (SETLI);B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4756;NEOFLEKS IZOPLEN-M %5 DEKSTROZLU DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 500 ML (SETSIZ);B05XA30;combinations of electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4757;NEOFLEKS IZOPLEN-P %5 DEKSTROZLU DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 1000 ML (SETLI);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4758;NEOFLEKS IZOPLEN-P %5 DEKSTROZLU DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 1000 ML (SETSIZ);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4759;NEOFLEKS IZOPLEN-P %5 DEKSTROZLU DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 250 ML (SETLI);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4760;NEOFLEKS IZOPLEN-P %5 DEKSTROZLU DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 250 ML (SETSIZ);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4761;NEOFLEKS IZOPLEN-P %5 DEKSTROZLU DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 500 ML (SETLI);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4762;NEOFLEKS IZOPLEN-P %5 DEKSTROZLU DENGELI ELEKTROLIT ICEREN INFUZYON ICIN COZELTI 500 ML (SETSIZ);B05BB02;electrolytes with carbohydrates;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4763;NEOFLEKS LAKTATLI RINGER COZELTISI (1000 ML PP TORBA SETLI);B05BB01;electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4764;NEOFLEKS LAKTATLI RINGER COZELTISI (1000 ML PP TORBA SETSIZ);B05BB01;electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4765;NEOFLEKS LAKTATLI RINGER COZELTISI (2000 ML SETLI PVC TORBA);B05BB01;electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4766;NEOFLEKS LAKTATLI RINGER COZELTISI (2000 ML SETSIZ PVC TORBA);B05BB01;electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4767;NEOFLEKS LAKTATLI RINGER COZELTISI (500 ML PP TORBA SETLI);B05BB01;electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4768;NEOFLEKS LAKTATLI RINGER COZELTISI (500 ML PP TORBA SETSIZ);B05BB01;electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4769;NEOFLEKS RINGER COZELTISI 1000 ML SETLI;B05BB01;electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4770;NEOFLEKS RINGER COZELTISI 1000 ML SETSIZ;B05BB01;electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4771;NEOFLEKS RINGER COZELTISI 2000 ML SETLI;B05BB01;electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4772;NEOFLEKS RINGER COZELTISI 2000 ML SETSIZ;B05BB01;electrolytes;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4773;NEOHES % 6 HES %0.9 SODYUM KLORUR IV INF. ICIN COZELTI (500 ML-SETSIZ);B05AA07;hydroxyethylstarch;TURKTIPSAN SAGLIK TURIZM EGITIM VE TICARET A.S.;Normal
4774;NEO-PENOTRAN 500 MG/ 100 MG 14 OVUL;G01AF20;combinations of imidazole derivatives;EXELTIS ILAÇ SANAYII VE TICARET ANONIM SIRKETI;Normal
4775;NEO-PENOTRAN FORTE 750 MG/ 200 MG 7 OVUL;G01AF20;combinations of imidazole derivatives;EXELTIS ILAÇ SANAYII VE TICARET ANONIM SIRKETI;Normal
4776;NEO-PENOTRAN FORTE-L 750 MG/ 200 MG/ 100 MG 7 OVUL;G01AF20;combinations of imidazole derivatives;EXELTIS ILAÇ SANAYII VE TICARET ANONIM SIRKETI;Normal
4777;NEORECORMON 10000 IU/0,6ML 6 HAZIR SIRINGA;B03XA01;erythropoietin;ROCHE MÜSTAHZARLARI SANAYI ANONIM SIRKETI;Normal
4778;NEOSET 3 MG/3 ML IV INFUZYON COZELTISI ICEREN 1 AMPUL;A04AA02;granisetron;DEVA HOLDING A.S.;Normal
4779;NEOSTIGMINE 0,5 MG/ML ENJEKSIYONLUK COZELTI;N07AA01;neostigmine;ADEKA ILAÇ SANAYI VE TICARET A.S.;Normal
4780;NEP FINE PREMIUM 31G X 5MM INSULIN KALEMI IGNE UCU;V07AY;Other non-therapeutic auxiliary products;MEDISEC TIBBI CIHAZ VE URUNLERI ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI;Normal
4781;NEP FINE PREMIUM 31G X 6MM INSULIN KALEMI IGNE UCU;V07AY;Other non-therapeutic auxiliary products;MEDISEC TIBBI CIHAZ VE URUNLERI ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI;Normal
4782;NEP FINE PREMIUM 31G X 8MM INSULIN KALEMI IGNE UCU;V07AY;Other non-therapeutic auxiliary products;MEDISEC TIBBI CIHAZ VE URUNLERI ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI;Normal
4783;NEP FINE PREMIUM 32G X 4MM INSULIN KALEMI IGNE UCU;V07AY;Other non-therapeutic auxiliary products;MEDISEC TIBBI CIHAZ VE URUNLERI ITHALAT IHRACAT SANAYI VE TICARET LIMITED SIRKETI;Normal
4784;NEPHRAMINE 500 ML(SETLI);B05BA01;amino acids;ECZACIBASI-BAXTER HASTANE ÜRÜNLERI SANAYI VE TICARET A.S.;Normal
4785;NEPHRAMINE 500 ML(SETSIZ);B05BA01;amino acids;ECZACIBASI-BAXTER HASTANE ÜRÜNLERI SANAYI VE TICARET A.S.;Normal
4786;NEPITIN 600 MG 50 CENTIKLI TABLET;N02BF01;gabapentin;ALI RAIF ILAÇ SANAYI A.S.;Normal
4787;NEPITIN 800 MG 50 CENTIKLI TABLET;N02BF01;gabapentin;ALI RAIF ILAÇ SANAYI A.S.;Normal
4788;NEPRILEX 24 MG/26 MG FILM KAPLI TABLET;C09DX04;valsartan and sacubitril;ALI RAIF ILAÇ SANAYI A.S.;Normal
4789;NEPRILEX 49 MG/51 MG FILM KAPLI TABLET;C09DX04;valsartan and sacubitril;ALI RAIF ILAÇ SANAYI A.S.;Normal
4790;NEPRILEX 97 MG/103 MG FILM KAPLI TABLET;C09DX04;valsartan and sacubitril;ALI RAIF ILAÇ SANAYI A.S.;Normal
4792;NERISONA-C KREM 15 GR;D07BC04;diflucortolone and antiseptics;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
4793;NERISONA-C KREM 15 GR;D07BC04;diflucortolone and antiseptics;BAYER TÜRK KIMYA SAN. LTD. STI.;Normal
4794;NERUDA 250 MG/5 ML ORAL COZELTI;N02BF01;gabapentin;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4795;NERUDA 300 MG FILM KAPLI  TABLET (50 TABLET);N02BF01;gabapentin;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4796;NERUDA 400 MG  FILM KAPLI TABLET (50 TABLET);N02BF01;gabapentin;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4797;NERUDA 600 MG  FILM KAPLI TABLET (50 TABLET);N02BF01;gabapentin;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4798;NERUDA 800 MG FILM KAPLI TABLET (50 TABLET);N02BF01;gabapentin;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4799;NERVIUM 5 MG 50 TABLET;N05BA01;diazepam;SABA ILAÇ SANAYI VE TICARET A.S.;Yesil
4800;NERVOGIL 1 MG 30 TABLET;N04BD02;rasagiline;ILKO ILAÇ SAN. VE TIC. A.S.;Normal
4801;NETFEN 200 MG SR 16 KAPSUL;M01AE09;flurbiprofen;NEUTEC ILAÇ SAN. TIC. A.S.;Normal
4802;NETILCIN %0.3 GOZ DAMLASI, COZELTI;S01AA23;netilmicin;VEM ILAÇ SAN. VE TIC. ANONIM SIRKETI;Normal
4803;"NETILDEX %0.3+%0.1 GOZ DAMLASI, COZELTI (5 ML) ";S01CA01;dexamethasone and antiinfectives;SIFI ILAÇ ANONIM SIRKETI;Normal
4804;"NETILDEX TEK DOZ %0,3+%0,1 GOZ DAMLASI, COZELTI (0,3 ML x 20 ADET) ";S01CA01;dexamethasone and antiinfectives;SIFI ILAÇ ANONIM SIRKETI;Normal
4805;NETIRA %0,3 GOZ DAMLASI, COZELTI (5 ML);S01AA23;netilmicin;SIFI ILAÇ ANONIM SIRKETI;Normal
4806;NETIRA TEK DOZ %0,3 GOZ DAMLASI, COZELTI;S01AA23;netilmicin;SIFI ILAÇ ANONIM SIRKETI;Normal
4807;NETIZON 5 MG + 15 MG/5 ML GOZ DAMLASI, COZELTI;S01CA01;dexamethasone and antiinfectives;VEM ILAÇ SAN. VE TIC. ANONIM SIRKETI;Normal
4808;NETROLEX 100 MG/ML ORAL COZELTI 150 ML;N03AX14;levetiracetam;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4809;NETROLEX 100 MG/ML ORAL COZELTI 300 ML;N03AX14;levetiracetam;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4810;NETROLEX 1000 MG 50 FILM TABLET;N03AX14;levetiracetam;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4811;NETROLEX 250 MG 50 FILM TABLET;N03AX14;levetiracetam;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4812;NETROLEX 500 MG 50 FILM TABLET;N03AX14;levetiracetam;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4813;NETROLEX XR 1000 MG 50 TABLET;N03AX14;levetiracetam;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4814;NETROLEX XR 500 MG 50 TABLET;N03AX14;levetiracetam;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4815;NETROLEX XR 750 MG 50 TABLET;N03AX14;levetiracetam;SANOVEL ILAÇ SAN. VE TIC. A.S.;Normal
4816;NEULASTIM 6 MG/0,6 ML S.C. ENJEKSIYON ICIN KULLANIMA HAZIR 1 SIRINGA;L03AA13;pegfilgrastim;AMGEN ILAÇ TICARET LIMITED SIRKETI;Normal
4817;NEUPOGEN 30 MIU/0,5 ML ENJEKSIYONA HAZIR 5 SIRINGA;L03AA02;filgrastim;AMGEN ILAÇ TICARET LIMITED SIRKETI;Normal
4818;NEUPOGEN 48 MIU/0,5 ML ENJEKSIYONA HAZIR 5 SIRINGA;L03AA02;filgrastim;AMGEN ILAÇ TICARET LIMITED SIRKETI;Normal
4819;NEURICA 75 MG 14 KAPSUL;N02BF02;pregabalin;KOÇAK FARMA ILAÇ VE KIMYA SANAYI A.S.;Yesil
4820;NEURONTIN 100 MG 20 KAPSUL;N02BF01;gabapentin;VIATRIS ILAÇLARI LIMITED SIRKETI;Normal
4821;NEURONTIN 300 MG 50 KAPSUL;N02BF01;gabapentin;VIATRIS ILAÇLARI LIMITED SIRKETI;Normal
4822;NEURONTIN 400 MG 50 KAPSUL;N02BF01;gabapentin;VIATRIS ILAÇLARI LIMITED SIRKETI;Normal
4823;NEURONTIN 600 MG 50 CENTIKLI FILM TABLET;N02BF01;gabapentin;VIATRIS ILAÇLARI LIMITED SIRKETI;Normal
4824;NEURONTIN 800 MG 50 CENTIKLI FILM TABLET;N02BF01;gabapentin;VIATRIS ILAÇLARI LIMITED SIRKETI;Normal
4825;NEUTAXAN 60 MG/1,5 ML INFUZYON ICIN KONSANTRE COZELTI ICEREN 1 FLAKON + 1 COZUCU FLAKON;L01CD04;cabazitaxel;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
4826;NEVAKSON IM 1 GR 1 FLAKON;J01DD04;ceftriaxone;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
4827;NEVAKSON IM 500 MG 1 FLAKON;J01DD04;ceftriaxone;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
4828;NEVAKSON IV 1 GR 1 FLAKON;J01DD04;ceftriaxone;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
4829;NEVANAC %0,1 STERIL SUSPANSIYON GOZ DAMLASI 5 ML;S01BC10;nepafenac;NOVARTIS SAGLIK GIDA VE TARIM ÜRÜNLERI SANAYI VE TICARET ANONIM SIRKETI;Normal
4830;NEVOFAM 20 MG 60 TABLET;A02BA03;famotidine;LILYUM ILAÇ VE KIMYA SANAYI TICARET LIMITED SIRKETI;Normal
4831;NEVOFAM 40 MG 30 TABLET;A02BA03;famotidine;LILYUM ILAÇ VE KIMYA SANAYI TICARET LIMITED SIRKETI;Normal
4832;NEVOTEK 500 MG 7 FILM TABLET;J01MA12;levofloxacin;BIOFARMA ILAÇ SANAYI VE TICARET A.S.;Normal
4833;NEVPARIN 25000 IU 1 FLAKON;B01AB01;heparin;GENSENTA ILAÇ SANAYI VE TICARET A.S.;Normal
4834;NEVRA-B12 1000 MCG/ML 5 AMPUL;B03BA01;cyanocobalamin;FARMALAS ILAÇ SAN. VE TIC. LTD. STI.;Normal
4836;NEWAGRA 100 MG FILM KAPLI TABLET (4 TABLET);G04BE03;sildenafil;MILPHA ILAÇ SANAYI VE TICARET LIMITED SIRKETI;Normal
4837;NEWAGRA 50 MG FILM KAPLI TABLET (4 ADET);G04BE03;sildenafil;MILPHA ILAÇ SANAYI VE TICARET LIMITED SIRKETI;Normal
4839;NEWFINE INSULIN KALEM IGNESI 31GX5MM;V07AY;Other non-therapeutic auxiliary products;B.E.K SAGLIK URUNLERI;Normal
4840;NEWFINE INSULIN KALEM IGNESI 31GX6MM;V07AY;Other non-therapeutic auxiliary products;B.E.K SAGLIK URUNLERI;Normal
4841;NEWFINE INSULIN KALEM IGNESI 31GX8MM;V07AY;Other non-therapeutic auxiliary products;B.E.K SAGLIK URUNLERI;Normal
4842;NEWFINE INSULIN KALEM IGNESI 32GX4MM;V07AY;Other non-therapeutic auxiliary products;B.E.K SAGLIK URUNLERI;Normal
4843;NEXAVAR 200 MG 112 FILM TABLET;L01EX02;sorafenib;BAYER TÜRK KIMYA SAN. LTD. STI.;Normal
4844;NEXETIN 20 MG 28 KAPSUL;N06AX21;duloxetine;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
4845;NEXETIN 40 MG 28 KAPSUL;N06AX21;duloxetine;NOBEL ILAÇ SAN. VE TIC. A.S.;Normal
4846;NEXFUL 40 MG IV INFUZYONLUK / ENJEKSIYONLUK COZELTI ICIN TOZ;A02BC05;esomeprazole;INCPHARMA ILAÇ SAN. VE TIC. LTD. STI.;Normal
4847;NEXIUM 20 MG ENTERIK KAPLI 14 PELLET TABLET;A02BC05;esomeprazole;ASTRAZENECA ILAÇ SAN.VE TIC.LTD.STI.;Normal
4848;NEXIUM 20 MG ENTERIK KAPLI 28 PELLET TABLET;A02BC05;esomeprazole;ASTRAZENECA ILAÇ SAN.VE TIC.LTD.STI.;Normal
4849;NEXIUM 40 MG ENTERIK KAPLI 14 PELLET TABLET;A02BC05;esomeprazole;ASTRAZENECA ILAÇ SAN.VE TIC.LTD.STI.;Normal
4850;NEXIUM 40 MG ENTERIK KAPLI 28 PELLET TABLET;A02BC05;esomeprazole;ASTRAZENECA ILAÇ SAN.VE TIC.LTD.STI.;Normal
4851;NEXIVOL 10 MG 28 TABLET;C07AB12;nebivolol;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
4852;NEXIVOL 5 MG 28 TABLET;C07AB12;nebivolol;ABDI IBRAHIM ILAÇ SANAYI VE TICARET A.S;Normal
4853;NEXPLANON 68 MG 1 IMPLANT;G03AC08;etonogestrel;MERCK SHARP DOHME ILAÇLARI LTD. STI.;Normal
4854;NEXPLANON 68 MG IMPLANT;G03AC08;etonogestrel;ORGANON TURKEY ILAÇLARI LIMITED SIRKETI;Normal
4855;NEXSTEP 40 MG 28 ENTERIK KAPLI TABLET;A02BC05;esomeprazole;NEUTEC ILAÇ SAN. TIC. A.S.;Normal
4856;N-FESS 10 MG 28 FILM TABLET;R03DC03;montelukast;RECORDATI ILAÇ SANAYI VE TICARET ANONIM SIRKETI;Normal
4857;NIBULEN % 1 20 KREM;D01AE14;ciclopirox;SANOFI SAGLIK ÜRÜNLERI LTD. STI.;Normal
4858;NIBULEN % 1 20 ML DERMAL SOLUSYON;D01AE14;ciclopirox;SANOFI SAGLIK ÜRÜNLERI LTD. STI.;Normal
4859;NIBULEN 10 MG/ML DERMAL COZELTI (20 ML);D01AE14;ciclopirox;OPELLA HEALTHCARE TÜKETICI SAGLIGI ANONIM SIRKETI;Normal
4860;NIBULEN 80 MG/G TIRNAK CILASI SETI;D01AE14;ciclopirox;OPELLA HEALTHCARE TÜKETICI SAGLIGI ANONIM SIRKETI;Normal
4861;NIBULEN TIRNAK CILASI;D01AE14;ciclopirox;SANOFI SAGLIK ÜRÜNLERI LTD. STI.;Normal
4862;NICORETTE FRESHFRUIT 2 MG 30 MEYVELI SAKIZ;N07BA01;nicotine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
4863;NICORETTE FRESHFRUIT 2 MG MEYVELI SAKIZ 105 TABLET;N07BA01;nicotine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
4864;NICORETTE FRESHFRUIT 4 MG 30 MEYVELI SAKIZ;N07BA01;nicotine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
4865;NICORETTE FRESHMINT 2 MG 30 NANELI SAKIZ;N07BA01;nicotine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
4866;NICORETTE FRESHMINT 2 MG NANELI SAKIZ 105 TABLET;N07BA01;nicotine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
4867;NICORETTE FRESHMINT 4 MG 30 NANELI SAKIZ;N07BA01;nicotine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
4868;NICORETTE INVISI 10 MG 7 NIKOTIN BANDI;N07BA01;nicotine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
4869;NICORETTE INVISI 15 MG 7 NIKOTIN BANDI;N07BA01;nicotine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
4870;NICORETTE INVISI 25 MG 7 NIKOTIN BANDI;N07BA01;nicotine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
4871;NICORETTE QUICKMIST 1 MG/SPREY MEYVELI ORAL MUKOZAYA UYGULANACAK SPREY, COZELTI (1 SISE);N07BA01;nicotine;JOHNSON AND JOHNSON SIHHI MAL. SAN. VE TIC. LTD. STI.;Normal
